altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
1272.732,0.017,1272.871,0.07,0.001,0.019,0.017,0,0,0,45.145
1272.732,0.017,1272.871,0.07,0.001,0.019,0.017,0,0,0,45.145
1272.722,0.016,1272.867,0.067,-0.001,0.019,0.017,0,0,0,45.142
1272.722,0.016,1272.867,0.067,-0.001,0.019,0.017,0,0,0,45.142
1272.716,0.016,1272.862,0.064,-0.006,0.019,0.017,0,0,0,45.139
1272.716,0.016,1272.862,0.064,-0.006,0.019,0.017,0,0,0,45.139
1272.659,0.014,1272.853,0.059,0.003,0.019,0.017,0,0,0,45.148
1272.659,0.014,1272.853,0.059,0.003,0.019,0.017,0,0,0,45.148
1272.658,0.013,1272.843,0.054,-0.001,0.018,0.017,0,0,0,45.136
1272.658,0.013,1272.843,0.054,-0.001,0.018,0.017,0,0,0,45.136
1272.658,0.012,1272.834,0.05,-0.007,0.02,0.018,0,0,0,45.151
1272.658,0.012,1272.834,0.05,-0.007,0.02,0.018,0,0,0,45.151
1272.709,0.011,1272.83,0.048,0.005,0.018,0.017,0,0,0,45.142
1272.709,0.011,1272.83,0.048,0.005,0.018,0.017,0,0,0,45.142
1272.709,0.011,1272.826,0.046,0.002,0.019,0.017,0,0,0,45.142
1272.709,0.011,1272.826,0.046,0.002,0.019,0.017,0,0,0,45.142
1272.714,0.011,1272.822,0.044,-0.01,0.019,0.018,0,0,0,45.151
1272.714,0.011,1272.822,0.044,-0.01,0.019,0.018,0,0,0,45.151
1272.714,0.011,1272.822,0.044,-0.01,0.019,0.018,0,0,0,45.151
1272.714,0.01,1272.819,0.042,0.003,0.018,0.017,0,0,0,45.148
1272.714,0.01,1272.819,0.042,0.003,0.018,0.017,0,0,0,45.148
1272.715,0.01,1272.816,0.041,0.001,0.02,0.018,0,0,0,45.151
1272.715,0.01,1272.816,0.041,0.001,0.02,0.018,0,0,0,45.151
1272.729,0.01,1272.814,0.04,-0.012,0.018,0.018,0,0,0,45.145
1272.729,0.01,1272.814,0.04,-0.012,0.018,0.018,0,0,0,45.145
1272.724,0.009,1272.812,0.039,0.008,0.019,0.017,0,0,0,45.145
1272.724,0.009,1272.812,0.039,0.008,0.019,0.017,0,0,0,45.145
1272.724,0.009,1272.81,0.038,-0.003,0.018,0.017,0,0,0,45.156
1272.724,0.009,1272.81,0.038,-0.003,0.018,0.017,0,0,0,45.156
1272.733,0.009,1272.809,0.038,-0.005,0.02,0.018,0,0,0,45.162
1272.733,0.009,1272.809,0.038,-0.005,0.02,0.018,0,0,0,45.162
1272.733,0.009,1272.809,0.038,-0.005,0.02,0.018,0,0,0,45.162
1272.725,0.009,1272.808,0.037,0.004,0.019,0.017,0,0,0,45.154
1272.725,0.009,1272.808,0.037,0.004,0.019,0.017,0,0,0,45.154
1272.776,0.009,1272.81,0.038,-0.008,0.019,0.018,0,0,0,45.168
1272.776,0.009,1272.81,0.038,-0.008,0.019,0.018,0,0,0,45.168
1272.776,0.01,1272.813,0.039,0.002,0.019,0.017,0,0,0,45.154
1272.776,0.01,1272.813,0.039,0.002,0.019,0.017,0,0,0,45.154
1272.776,0.01,1272.816,0.04,-0.001,0.019,0.017,0,0,0,45.156
1272.776,0.01,1272.816,0.04,-0.001,0.019,0.017,0,0,0,45.156
1272.776,0.01,1272.818,0.041,-0.003,0.019,0.018,0,0,0,45.151
1272.776,0.01,1272.818,0.041,-0.003,0.019,0.018,0,0,0,45.151
1272.773,0.011,1272.82,0.042,-0.003,0.018,0.017,0,0,0,45.142
1272.773,0.011,1272.82,0.042,-0.003,0.018,0.017,0,0,0,45.142
1272.773,0.011,1272.82,0.042,-0.003,0.018,0.017,0,0,0,45.142
1272.745,0.011,1272.82,0.042,-0.001,0.019,0.017,0,0,0,45.148
1272.745,0.011,1272.82,0.042,-0.001,0.019,0.017,0,0,0,45.148
1272.745,0.01,1272.819,0.042,-0.002,0.019,0.017,0,0,0,45.133
1272.745,0.01,1272.819,0.042,-0.002,0.019,0.017,0,0,0,45.133
1272.734,0.01,1272.818,0.041,-0.002,0.018,0.017,0,0,0,45.145
